name,salary_from,salary_to,salary_currency,area_name,published_at
Дизайнер - Менеджер стройки,100000,,RUR,Москва,2022-12-20T01:31:43+0300
Технический специалист CRM,1000,1600,USD,Минск,2022-12-20T01:18:39+0300
Product manager / Продакт менеджер,150000,250000,RUR,Москва,2022-12-20T01:43:58+0300
Дизайнер интерьеров,50000,100000,RUR,Хабаровск,2022-12-20T01:09:01+0300
Оператор (аппаратчик) в цех приготовления продукции,30000,40000,RUR,Елец,2022-12-20T01:09:01+0300
Менеджер по маркетплейсам,25000,50000,RUR,Воронеж,2022-12-20T01:03:12+0300
Специалист технической поддержки,30000,,RUR,Пушкино (Московская область),2022-12-20T01:09:00+0300
Менеджер по продажам ПО,35000,200000,RUR,Пушкино (Московская область),2022-12-20T01:09:06+0300
Программист 1С-Системный администратор,75000,,RUR,Воронеж,2022-12-20T01:54:04+0300
Администратор ИТ и ИТБ,45000,50000,RUR,Южно-Сахалинск,2022-12-20T01:50:00+0300
Менеджер по продажам кухонь / дизайнер мебели,40000,120000,RUR,Самара,2022-12-20T01:11:00+0300
Токарь,90000,,RUR,Москва,2022-12-20T01:54:06+0300
Оператор станка лазерной резки,40000,65000,RUR,Калининград,2022-12-20T01:09:02+0300
Junior project manager в web-студию,35000,60000,RUR,Минск,2022-12-20T01:36:42+0300
Сервисный инженер по ремонту холодильного оборудования / холодильщик,60000,,RUR,Санкт-Петербург,2022-12-20T01:49:53+0300
Региональный менеджер,68750,120000,RUR,Екатеринбург,2022-12-20T01:41:37+0300
Копирайтер (маркетолог),20000,,RUR,Москва,2022-12-20T01:43:48+0300
Специалист по внедрению и сопровождению экономического ПО на платформе Гедымин,2500,,BYR,Минск,2022-12-20T01:20:00+0300
Стажёр 2D-художник персонажей,15000,30000,RUR,Санкт-Петербург,2022-12-20T02:19:59+0300
Системный администратор,60000,,RUR,Чита,2022-12-20T02:05:23+0300
Разработчик под iOS (Swift),150000,230000,RUR,Санкт-Петербург,2022-12-20T02:56:50+0300
Разработчик под Android (Kotlin),150000,300000,RUR,Санкт-Петербург,2022-12-20T02:57:09+0300
Product Designer / Продуктовый дизайнер / UI дизайнер (удаленно),200000,300000,RUR,Москва,2022-12-20T02:03:01+0300
Мастер газового хозяйства,70000,75000,RUR,Находка,2022-12-20T02:10:22+0300
Инженер,12000,30000,RUR,Благовещенск (Амурская область),2022-12-20T02:42:22+0300
Специалист службы поддержки,45000,55000,RUR,Владивосток,2022-12-20T02:13:18+0300
Специалист в области информационных технологий,13000,30000,RUR,Благовещенск (Амурская область),2022-12-20T02:42:51+0300
Техник по монтажу разливного оборудования (Вяземский),45000,,RUR,Вяземский,2022-12-20T02:49:50+0300
"Back-end разработчик - стажер (php, Java/Kotlin)",15000,30000,RUR,Минск,2022-12-20T02:03:25+0300
Инженер (информационная безопасность),11000,24000,RUR,Благовещенск (Амурская область),2022-12-20T02:43:10+0300
Ведущий инженер (информационная безопасность),15000,35000,RUR,Благовещенск (Амурская область),2022-12-20T02:43:26+0300
Инженер-программист,85000,,RUR,Южно-Сахалинск,2022-12-20T02:19:43+0300
Механик транспортной службы,46000,,RUR,Краснокаменск,2022-12-20T02:23:14+0300
Менеджер развития процессов,,115000,RUR,Владивосток,2022-12-20T02:13:18+0300
Механик клинингового оборудования,70000,100000,RUR,Москва,2022-12-20T02:35:17+0300
Проектный менеджер,55000,115000,RUR,Владивосток,2022-12-20T02:13:18+0300
Специалист по обучению 1С,70000,90000,RUR,Владивосток,2022-12-20T02:13:18+0300
Главный механик технологического оборудования,75000,80000,RUR,Красноярск,2022-12-20T03:49:21+0300
Бизнес-аналитик,500000,,KZT,Алматы,2022-12-20T03:57:25+0300
Специалист технической поддержки,50000,,RUR,Красноярск,2022-12-20T03:08:07+0300
Системный администратор,75000,,RUR,Южно-Сахалинск,2022-12-20T03:47:24+0300
Оператор станка с ЧПУ лазерной и плазменной резки,50000,,RUR,Барнаул,2022-12-20T03:24:25+0300
Разработчик C#,80000,200000,RUR,Новосибирск,2022-12-20T03:23:20+0300
Инженер-теплотехник/монтажник,60000,100000,RUR,Новосибирск,2022-12-20T03:55:51+0300
Инженер отдела сопровождения компьютерной техники,60000,65000,RUR,Петропавловск-Камчатский,2022-12-20T03:53:03+0300
Слесарь-механик по ремонту автомобилей предприятия (неполный день),22000,22000,RUR,Биробиджан,2022-12-20T03:42:56+0300
Токарь-фрезеровщик,55000,80000,RUR,Барнаул,2022-12-20T03:23:59+0300
Ведущий инженер-программист отдела ПиА,68000,75000,RUR,Петропавловск-Камчатский,2022-12-20T03:52:56+0300
Middle программист 1С,150000,170000,RUR,Владивосток,2022-12-20T03:53:25+0300
Junior программист 1С,50000,80000,RUR,Владивосток,2022-12-20T03:54:05+0300
Оператор лазерной установки,41000,41000,RUR,Брянск,2022-12-20T03:59:37+0300
Оформитель торгового комплекса (д. Елино),45000,55000,RUR,Зеленоград,2022-12-20T03:19:32+0300
Инженер-программист отдела системного и сетевого администрирования,62000,68000,RUR,Петропавловск-Камчатский,2022-12-20T03:53:06+0300
Оформитель торгового комплекса,28800,31100,RUR,Челябинск,2022-12-20T03:19:44+0300
Ведущий специалист отдела системного и сетевого администрирования,68000,75000,RUR,Петропавловск-Камчатский,2022-12-20T03:52:59+0300
"Мастер сервисного центра, ТЦ Фортуна Гранд",32300,,RUR,Иркутск,2022-12-20T03:58:24+0300
Middle/senior android разработчик,120000,220000,RUR,Москва,2022-12-20T03:08:20+0300
Оформитель торгового комплекса (улица Кузоваткина),39000,47000,RUR,Нижневартовск,2022-12-20T03:19:31+0300
Веб-разработчик,70000,100000,RUR,Санкт-Петербург,2022-12-20T04:31:19+0300
Сервисный инженер / Инженер-наладчик,70000,,RUR,Новосибирск,2022-12-20T04:11:51+0300
Системный администратор,60000,60000,RUR,Иркутск,2022-12-20T04:09:44+0300
Техник по комплексному обслуживанию и ремонту зданий,60000,,RUR,Новосибирск,2022-12-20T04:55:00+0300
Арт-менеджер,80460,91954,RUR,Южно-Сахалинск,2022-12-20T04:24:44+0300
Инсталлятор / Специалист по подключению абонентов / Монтажник интернет-сетей,54000,,RUR,Лесосибирск,2022-12-20T04:51:05+0300
Оператор деревообрабатывающего станка с ЧПУ (модельщик),50000,,RUR,Барнаул,2022-12-20T04:07:55+0300
Токарь-расточник,70000,,RUR,Барнаул,2022-12-20T04:57:28+0300
Инженер по аналитической работе,40000,,RUR,Кемерово,2022-12-20T04:11:56+0300
Инженер-программист 1С,120000,,RUR,Новокузнецк,2022-12-20T04:04:18+0300
Токарь,60000,,RUR,Барнаул,2022-12-20T04:57:28+0300
Ученик оператора станков с ЧПУ,35000,,RUR,Новокузнецк,2022-12-20T04:31:11+0300
Механик,56000,,RUR,Кемерово,2022-12-20T04:11:56+0300
Техник,38000,,RUR,Красноярск,2022-12-20T04:15:48+0300
Токарь,29000,,RUR,Красноярск,2022-12-20T04:50:39+0300
Менеджер по продукту,130000,,RUR,Хабаровск,2022-12-20T04:09:12+0300
Оператор станков с программным управлением,45000,,RUR,Томск,2022-12-20T04:05:17+0300
Механик по сервису (Дистрибьютор строительной техники Сase),50000,160000,RUR,Новосибирск,2022-12-20T04:39:02+0300
Сервисный инженер (горно-шахтное оборудование),60000,,RUR,Осинники,2022-12-20T04:53:18+0300
Фрезеровщик,45000,,RUR,Барнаул,2022-12-20T04:57:28+0300
Рабочий по комплексному обслуживанию зданий,,22000,RUR,Новосибирск,2022-12-20T04:47:33+0300
Токарь,50000,,RUR,Новосибирск,2022-12-20T04:27:15+0300
Сервисный инженер (горно-шахтное оборудование),60000,,RUR,Новокузнецк,2022-12-20T04:53:18+0300
